2026-07-09 13:35:20,555 | INFO | Loading existing unified dataset from C:\Users\HP\OneDrive - The Northcap university\Documents\xyz\customer-churn-prediction\data\unified_churn_dataset.csv
2026-07-09 13:35:20,978 | INFO | Training churn rate: 21.41%
2026-07-09 13:35:25,259 | INFO | SMOTE applied: 18,138 -> 28,510 samples
2026-07-09 13:35:28,211 | INFO | Training Logistic Regression
2026-07-09 13:36:00,074 | INFO | Training Random Forest
2026-07-09 13:36:28,288 | INFO | Training XGBoost
2026-07-09 13:40:09,744 | INFO | Loading existing unified dataset from C:\Users\HP\OneDrive - The Northcap university\Documents\xyz\customer-churn-prediction\data\unified_churn_dataset.csv
2026-07-09 13:40:10,167 | INFO | Training churn rate: 21.41%
2026-07-09 13:40:13,118 | INFO | SMOTE applied: 18,138 -> 28,510 samples
2026-07-09 13:40:15,685 | INFO | Training Logistic Regression
2026-07-09 13:40:33,970 | INFO | Training Random Forest
2026-07-09 13:40:51,870 | INFO | Training XGBoost

